No,City,1991,2001,2011,xPos,yPos
1,London,6715769,7208384,8250205,1900,2461
2,Birmingham,965928,970892,1085810,1610,2123
3,Glasgow,...,575132,590507,1376,1034
4,Liverpool,538386,523783,552267,1469,1804
5,Bristol,496044,516997,535907,1435,2400
6,Sheffield,457805,469127,518090,1717,1854
7,Manchester,447863,438752,510746,1573,1794
8,Leeds,424194,445795,474632,1742,1737
9,Edinburgh,400632,431393,459366,1539,1051
10,Leicester,377700,401448,443760,1755,2096
11,Bradford,305101,311130,349561,1677,1720
12,Cardiff,276464,296808,335145,1294,2369
13,Coventry,299316,305854,325949,1690,2179
14,Nottingham,270222,249584,289301,1763,1994
15,Kingston upon Hull,310636,301416,284321,1946,1772
16,Belfast,279237,276705,280561,1010,1365
17,Stoke-on-Trent,266543,259252,270726,1585,1951
18,Newcastle upon Tyne,255362,254777,268064,1764,1372
19,Derby,223836,229407,255394,1677,1984
20,Southampton,210138,234224,253651,1641,2599
21,Portsmouth,...,...,238137,1689,2632
22,Plymouth,...,...,234982,1096,2672
23,Brighton and Hove,192453,206628,229700,1870,2641
24,Reading,213474,...,218705,1702,2472
25,Northampton,183082,197199,215173,1766,2165
26,Luton,171671,185543,211228,1855,2341
27,Wolverhampton,...,...,210319,1577,2081
28,Aberdeen,182133,185226,195021,1792,699
29,Bolton,...,...,194189,1549,1769
30,Bournemouth,155488,167527,187503,1537,2634
31,Norwich,171304,174047,186682,2199,2144
32,Swindon,145236,155432,182441,1600,2400
33,Swansea,171038,169880,179485,1159,2314
34,Southend-on-Sea,158517,160257,175547,2066,2461
35,Middlesbrough,184773,175479,174700,1806,1522
36,Sunderland,183310,177739,174286,1801,1419
37,Milton Keynes,102428,122041,171750,1799,2269
38,Warrington,152458,158195,165456,1529,1830
39,Huddersfield,147847,149938,162949,1674,1799
40,Peterborough,134788,136292,161707,1914,2121
41,Oxford,118795,143016,159994,1700,2355
42,Slough,121811,137736,155298,1814,2550
43,Poole,138479,144800,154718,1530,2647
44,York,124609,137505,152841,1877,1679
45,Blackpool,146262,142283,147663,1469,1684
46,Dundee,...,145817,147285,1654,857
47,Cambridge,109912,127713,145818,1947,2232
48,Ipswich,130157,138718,144957,2155,2320
49,Birkenhead,149164,137634,142968,1446,1819
50,Telford,114251,131489,142723,1520,2000
51,Gloucester,114003,123205,136362,1513,2284
52,Sale,...,...,134022,1564,1819
53,Watford,113080,120960,131982,1842,2400
54,Newport,115522,118323,128060,1370,2360
55,Solihull,118103,118907,123187,1634,2150
56,High Wycombe,106123,110473,120256,1769,2399
57,Gateshead,118212,112599,120046,1749,1400
58,Colchester,96063,104390,119441,2080,2363
59,Blackburn,...,...,117963,1589,1700
60,Cheltenham,102633,110320,116447,1550,2284
61,Exeter,94717,106772,113507,1225,2597
62,Chelmsford,97451,99962,110507,2019,2402
63,Doncaster,103580,101056,109805,1799,1819
64,Rotherham,...,...,109691,1757,1861
65,Eastbourne,94793,106562,109185,1941,2669
66,Worthing,...,...,109120,1815,2647
67,Sutton Coldfield,106001,105452,109015,1651,2077
68,Rochdale,100935,102888,107926,1614,1773
69,Maidstone,...,...,107627,2016,2555
70,Basingstoke,81228,93963,107355,1688,2499
71,Basildon,100924,99876,107123,2009,2428
72,Crawley,88203,100547,106943,1866,2567
73,Stockport,...,...,105878,1612,1838
74,Woking,101484,105262,105367,1745,2469
75,Gillingham,94923,98403,104157,2015,2517
76,Salford,...,...,103886,1577,1811
77,Wigan,98070,92415,103608,1534,1792
78,St Helens,106293,102629,102885,1515,1805
79,Lincoln,97996,104221,100160,1888,1929
80,Worcester,82661,94029,100153,1531,2200